INFO  - 2014-06-17 15:48:53.004; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-06-17 15:48:53.004; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-06-17 15:48:53.005; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-06-17 15:48:53.009; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-06-17 15:48:53.011; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-06-17 15:48:53.012; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-06-17 15:48:53.012; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2014-06-17 15:48:53.016; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/poi-3.10-beta2.jar' to classloader
INFO  - 2014-06-17 15:48:53.017; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/poi-ooxml-3.10-beta2.jar' to classloader
INFO  - 2014-06-17 15:48:53.018; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/poi-ooxml-schemas-3.10-beta2.jar' to classloader
INFO  - 2014-06-17 15:48:53.018; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2014-06-17 15:48:53.019; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-06-17 15:48:53.020; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.021; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2014-06-17 15:48:53.021; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-06-17 15:48:53.022; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-06-17 15:48:53.022; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.023; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.023; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.024; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-06-17 15:48:53.024; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-06-17 15:48:53.025; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/extraction/lib/xz-1.2.jar' to classloader
INFO  - 2014-06-17 15:48:53.026; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/dist/solr-cell-4.8.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.028; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.029; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-06-17 15:48:53.029; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-06-17 15:48:53.030; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-06-17 15:48:53.048; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-06-17 15:48:53.054; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-06-17 15:48:53.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-06-17 15:48:53.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
